1,2,3,4,5,6,7,8,9,10
79.89911108,80.90247522,80.8840116,81.41974625,83.02710738,81.39041007,80.34787653,82.73926348,82.15134961,79.89911108
84.53294415,84.51934557,79.1543451,85.1754685,84.60673627,82.17850396,83.7677378,84.69462365,85.97289622,79.1543451
6.912919958,7.054517022,8.115914104,6.816491437,6.901042202,6.105782504,7.077261945,8.278306618,6.769472503,6.105782504
74.75675385,,,,,,,,,74.75675385
56.19698373,56.4060829,56.07493338,55.98569568,55.79310248,,,,,55.79310248
31.10925592,30.31614617,30.76870232,24.36170869,27.81584043,29.29721957,31.97373446,26.12967652,27.0571782,24.36170869
16.26458654,23.54890952,25.2082649,23.89478783,23.48380737,25.30039681,25.55180803,23.54888737,23.85540128,16.26458654
66.61205398,66.60821383,69.73548462,66.72402041,66.70878422,67.94706238,68.93940911,69.25738473,69.43445199,66.60821383
6.017505827,5.898651035,1.401745746,1.268173125,1.35636534,1.767807575,5.323278261,5.249748849,4.764116119,1.268173125
30.37313078,30.63984832,30.45961263,30.78655843,29.58539025,30.18858007,31.07895444,41.37662457,41.22082725,29.58539025
0.928955155,0.430749978,0.88607529,12.69060206,13.29890783,13.17246552,0.885988404,12.52362985,,0.430749978
1.057249421,0.681197798,1.816756565,12.73866086,12.88206085,,,,,0.681197798
1.139039229,1.31479105,0.32029731,1.564622553,0.881084174,,,,,0.32029731
61.17935634,61.29467945,61.95595913,63.13311966,60.96020524,63.60450805,61.99938725,62.11777129,62.34657768,60.96020524
54.38256612,54.55714803,58.3720248,54.37285445,53.16632276,54.40924536,54.45736303,52.76292672,58.03512545,52.76292672
46.45809353,45.39895641,45.82709815,46.2622347,44.98013157,47.08626638,45.50856325,45.00079273,45.24032425,44.98013157
29.6074086,29.27721162,29.39751087,29.30451571,29.70526782,34.76587632,34.04746951,33.89592265,29.42463739,29.27721162
0.652697162,0.645996333,0.665129028,0.873220141,0.972612136,1.004440162,1.46862704,1.34262906,14.39511143,0.645996333
0.599213688,0.652978416,1.461951826,2.062447387,2.121847737,14.6771285,14.085965,14.67300385,,0.599213688
31.53537271,31.15960287,31.06612515,,,,,,,31.06612515
0.326333095,0.316313003,0.812750791,0.843976057,0.857811273,0.835049613,0.21483526,,,0.21483526
43.65100168,44.75947884,44.37667343,44.01140652,43.89653992,,,,,43.65100168
63.2542334,63.39007666,64.14071476,64.61385894,63.53048567,63.78444336,64.14974832,66.29991681,65.32011891,63.2542334
0.675485033,,,,,,,,,0.675485033
8.720663851,9.321598345,8.318202793,8.750532959,,,,,,8.318202793
58.36176875,60.38918258,60.69740065,56.86429007,60.25632997,60.67228434,60.21243997,57.55698097,62.95274876,56.86429007
62.00482451,,,,,,,,,62.00482451
56.7103773,57.2581123,60.89795967,56.182162,61.93748643,60.82200432,56.6321686,56.42318749,56.60132975,56.182162
32.65942848,32.75583493,32.78814401,32.96600126,32.84592458,34.72711455,35.24614837,33.83679736,32.88543199,32.65942848
132.7526246,132.7546075,133.150662,132.5577945,132.7285366,132.6423913,132.4562628,133.3299025,125.3042385,125.3042385
52.58910088,53.04813587,53.10065801,52.15935695,46.04465123,45.46204081,44.37779309,50.44040059,45.80455887,44.37779309
83.18858736,81.74240202,84.40923032,83.02038743,83.33962086,83.39671169,82.78722113,84.35602181,83.57625231,81.74240202
97.62374469,97.4876051,96.97748841,97.52972633,97.76846208,98.09006338,,,,96.97748841
47.98330728,47.11369384,,,,,,,,47.11369384
38.34951662,37.47639054,37.86599387,30.71095489,38.83686982,39.93576554,38.80967814,40.0568669,30.7640563,30.71095489
137.5687445,137.730135,137.3691592,137.3592247,138.3294219,138.5392205,137.7739683,134.3994271,138.359583,134.3994271
138.5576775,138.1391371,137.9847015,137.7288689,137.4483627,138.2305185,,,,137.4483627
58.16705174,58.86132623,58.84470176,58.15290738,59.39796931,59.33943947,60.08826405,58.42045798,62.55352203,58.15290738
0.236041371,0.595888292,2.985728205,1.151582546,2.203465102,1.024283784,3.113602998,0.629882164,2.129165869,0.236041371
29.88655675,,,,,,,,,29.88655675
20.94627999,21.4504527,25.44630446,24.74101381,18.42057447,21.02321014,16.14680381,27.36331682,24.84178385,16.14680381
73.8484629,71.75255615,73.73465955,73.85149289,76.75681219,75.29086418,73.94575178,71.95594223,74.94691118,71.75255615
70.30232001,70.35738047,70.97911179,70.01399432,70.48955877,72.71073625,70.51923343,72.75933076,70.29670117,70.01399432
1.157881889,1.122161847,0.402485968,0.635297801,3.027915489,1.012243395,0.89007645,2.675005723,4.561274196,0.402485968
42.80599087,42.99767963,39.30726673,39.46603039,35.82618062,35.71400363,42.68303415,41.49644419,42.08181845,35.71400363
1.45833134,1.936869714,2.867567696,0.758558424,0.386945396,0.972283339,2.847350413,5.056638908,4.472786128,0.386945396
15.49274467,15.53923208,15.72826316,16.40782121,17.0004201,16.14373467,18.5859785,18.7727776,15.97526035,15.49274467
43.01010471,43.78634692,42.33076102,45.4701973,44.88389475,28.28264858,43.16234221,45.62164922,44.58089859,28.28264858
50.82798338,51.01961267,51.04714339,50.87044446,50.66844354,50.60998323,50.84277828,50.81829186,50.74561828,50.60998323
8.379838602,2.073741877,6.573336509,1.462114913,5.406767238,1.08437414,2.93833784,4.171401391,1.490862194,1.08437414
60.57052722,60.68685273,61.07490824,62.32849908,61.64977651,64.31281518,61.30367311,61.47591887,62.96177432,60.57052722
9.122500424,9.14364412,9.151981643,8.699229982,,,,,,8.699229982
35.54550386,35.15085756,34.79553482,33.53561889,38.11233975,40.78977433,38.41469341,33.62009083,45.70230846,33.53561889
55.17108839,54.62842346,55.20428632,53.61829453,53.45979432,55.27841322,53.91429121,55.15332209,51.01246013,51.01246013
38.22152211,38.65636302,38.83943249,37.32384446,37.63311738,37.34930245,36.70047282,38.04590891,38.96825592,36.70047282
27.86082561,28.91761964,29.57509034,27.4310754,27.42556888,27.72964621,28.37592678,27.27508617,26.76000969,26.76000969
9.652004492,12.27328973,10.9828069,11.8324448,10.68433533,10.83678101,11.85669783,12.21126371,10.9986379,9.652004492
59.89807238,60.13982303,57.38784129,61.20099785,59.63853967,59.95968147,58.00343753,56.22381121,58.91696195,56.22381121
68.40487116,68.31673568,67.44284296,68.34768906,69.32811789,,,,,67.44284296
2.202987894,2.631314385,2.550790767,2.548815797,3.180836732,3.374336276,2.716073931,2.690671027,3.04886572,2.202987894
1.661822015,0.612222354,0.967194415,2.427670305,0.7483588,2.897508435,1.758498769,1.802548984,2.041477784,0.612222354
29.79013976,30.49822775,30.1055498,30.12013019,30.38276706,29.9659904,30.56673322,29.99092376,29.8446432,29.79013976
45.37200173,46.16685556,44.7516516,44.48462726,45.60347964,44.47726674,45.24938677,,,44.47726674
19.53807966,19.24024124,19.09394522,19.27860323,19.13347902,19.75629055,18.73671274,19.84410336,19.69953148,18.73671274
45.41685383,44.8129406,44.79653693,45.39189341,45.5387344,44.94131652,44.98122859,45.21874895,45.15938437,44.79653693
3.667569859,4.136483636,3.513523311,3.815285285,2.795927836,2.626436566,2.618006959,3.894257873,3.352774022,2.618006959
58.48457825,57.58863155,57.76466197,57.24245598,58.02040004,60.51254722,58.40567026,57.63351693,58.04606838,57.24245598
43.75971428,43.76111298,44.97970246,45.31032842,43.33219909,41.29392388,45.44118258,44.04854125,44.94649426,41.29392388
40.0464442,,,,,,,,,40.0464442
56.24080307,56.5866081,56.63176895,56.42032733,61.84114893,65.38997778,63.25389794,66.64910987,62.58949887,56.24080307
51.01786055,50.19814705,50.72915213,50.87657332,55.43437117,52.02382675,57.79577591,47.27537049,52.79687437,47.27537049
24.94910132,24.80907894,23.96759242,22.66714678,,,,,,22.66714678
86.22840007,86.30363395,86.9356402,87.87071698,86.26752305,88.96387106,86.73532501,89.40680638,86.9391335,86.22840007
84.27779709,84.36158767,84.95337251,,,,,,,84.27779709
30.04847377,28.7185123,29.24444515,29.37343505,29.49665631,29.26453158,29.04923899,28.60649156,27.92085222,27.92085222
29.87636293,30.11945378,29.95713311,30.2931354,,,,,,29.87636293
0.586917534,0.404009569,0.66344636,0.478460441,,,,,,0.404009569
32.05762543,31.77539903,31.69676935,32.09259543,33.22993839,33.39126345,36.68443212,36.98711855,32.90025831,31.69676935
30.2601858,30.75145878,31.14297662,30.51063666,32.10822559,30.22883584,29.45803364,31.31013131,30.81071644,29.45803364
13.30632503,12.67980716,13.40623138,,,,,,,12.67980716
9.70185641,8.947342105,9.55661721,9.696861534,10.03880745,10.05370064,9.430587081,9.74962772,,8.947342105
0.848335247,0.79823097,1.232362494,0.924958149,1.255290955,3.130078891,2.061243534,0.856958179,3.668358404,0.79823097
9.746220265,9.438029779,9.332880661,9.084349447,10.13444357,,,,,9.084349447
0.306147311,0.803658648,0.830381175,2.76796526,,,,,,0.306147311
0.304975683,1.981147775,2.008249048,0.58960756,0.086077151,,,,,0.086077151
92.04521528,91.80091416,92.0907103,,,,,,,91.80091416
92.9191393,91.78981784,93.42125365,91.45942854,91.99407645,,,,,91.45942854
16.20852086,16.50286615,15.79501417,15.62391858,16.31820233,16.09402203,15.33656067,15.04202459,16.20904259,15.04202459
16.16273623,,,,,,,,,16.16273623
33.76151352,,,,,,,,,33.76151352
33.4289859,34.20807944,,,,,,,,33.4289859
0.418937586,0.731909299,0.784809525,,,,,,,0.418937586
0.726847168,0.752645807,1.306669568,,,,,,,0.726847168
19.33346696,19.56505984,19.43113784,,,,,,,19.33346696
41.33940666,41.41990919,41.40833879,42.1365641,42.15538032,42.92540153,42.04397616,41.7830582,42.2510757,41.33940666
52.46050927,50.90667098,51.5325178,52.40634038,52.62324817,52.5090855,52.56666181,52.2540167,51.4962593,50.90667098
86.95120116,95.54557942,95.62337375,95.63104375,86.78227643,93.62772735,94.84483307,85.12674313,86.79180475,85.12674313
98.53745316,97.67569742,,,,,,,,97.67569742
35.82132892,35.55257262,40.27628872,40.66930146,36.01995027,41.83930146,42.01719408,41.29001101,41.9387769,35.55257262
35.72050136,35.85522731,35.82729243,,,,,,,35.72050136
0.638169568,0.324412087,,,,,,,,0.324412087
0.677874903,0.321596929,0.789790909,,,,,,,0.321596929
0.170499304,0.926193209,,,,,,,,0.170499304
