Ligand,Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Distance7,Distance8,Distance9,Ellipsis
1aw1,0.9867164232949602,1.2903495930259448,4.179578889606516,5.191527647897956,5.444796046787346,3.621935383956423,4.337754145868574,4.603746913233948,4.27412992575357,
1awf,1.6263380221552015,2.614639243059385,3.930119206941341,10.528448763889491,10.603753890259446,5.36860760224875,10.590126028123484,10.162051054914668,10.609870484192829,
1awh,5.697138497189079,6.613589374237384,3.478016155651718,8.724994940311515,8.96123241045017,8.558784126279646,8.427286493716675,8.834621438510814,4.946447412654242,
1awi,14.31104298038682,2.497194667402084,17.209018904219224,16.095311002797075,2.835271991622474,15.258466837625908,7.900300633163665,17.40939399263642,13.879783383913676,
1ax0,0.5914338080743553,5.200640483632761,5.005186902204552,2.591546985875425,5.035747115771403,,,,,
1ax1,2.9686836414551614,0.957180124341695,5.913926126893016,6.058598690040174,6.502659256595821,6.583019292715225,5.9068364912487485,6.022328250515454,6.856172960440705,
1ax2,4.624091871675162,0.6574678673049071,2.893540693244444,5.4471464346375535,7.226790047029606,6.4674505748758175,6.310666855717085,4.010151328623588,5.103060175069918,
1axr,0.7329544723728944,2.250244830012948,3.365910628429018,3.342766963160908,3.139578262624275,3.445623953240234,4.567952209297792,4.379260972633233,3.813759893558362,
1axs,2.6091983571177018,2.5226270949859284,1.4179143216610195,3.652295778098248,2.338649107772629,2.529856887468425,2.4656686749526706,,,
1axz,0.6475263437369415,2.8208578811831937,3.969965838224136,4.1402000377397234,3.59062635436586,4.126527823222974,4.362822663712107,3.8395364106013288,4.5689897109937405,
1ayu,6.138420220219532,6.859989736438941,6.715724619857629,5.317723314629332,4.491133592636134,3.2283362532867788,3.324271205664412,5.403953041964919,5.649330406129478,
1ayv,12.826819714584948,12.479246361841522,5.466564095161752,11.898498950493028,4.337289364069962,5.3070553520980495,12.425766330015204,12.583689489314663,6.966671815383283,
1aze,16.16226841957482,14.900868651670525,16.065889387018185,15.238249120373975,16.008194067602506,17.68995084045149,11.35924161424181,14.622184977291202,11.138140075364186,
